username,rating,comment,likes,date,additional_desc
L***a,bintang 5,wangi dan bersih tanpa extra pelembut. Terima kasih,0,Hari ini,
R***a,bintang 5,5â­,0,Hari ini,
R***a,bintang 5,5â­,0,Hari ini,
I***e,bintang 5,sesuai dekripsi. cepat diantarnya karena dilayani tokopedia,0,Hari ini,
S***n,bintang 5,,0,Hari ini,
Y***y,bintang 3,setelah pemakaian bukanya mencerahkan malah membuat area ketiak menghitam,0,Hari ini,Kendala: Kualitas barang bermasalah
Imas,bintang 5,"Pengirimannya cepat banget,,,Malem order Besoknya langsung nyampe,,,",0,Hari ini,
irena,bintang 5,"kemasan rapi, exp masih lama thn 2025",0,Hari ini,
Reinhard,bintang 5,"Barangnya sudah sampai dengan selamat, dibungkus dengan rapi, Terima kasih.",0,Hari ini,
Reinhard,bintang 5,"Barangnya sudah sampai dengan selamat, dibungkus dengan rapi, Terima kasih,.",0,Hari ini,
Reinhard,bintang 5,"Barangnya sudah sampai dengan selamat, dibungkus dengan rapi, Terima kasih,.",0,Hari ini,
M***h,bintang 5,"teh favorit suami,apalagi pakai lemon wiiih mantap",0,Hari ini,
R***a,bintang 5,"pengiriman aman, baru pertama nyoba, dapat harga diskon. trims",0,Hari ini,
Desy,bintang 1,"ini sy sdh 3kali bertransaksi Unilever di Tokopedia yg bermasalah pesan apa yg dikirim apa, terlampir buktinya. digambar sm yg dkirim beda",0,Hari ini,"Kendala: Kualitas barang bermasalah, Tidak lengkap/salah kirim"
Rahmah,bintang 3,kemasan bocor,0,Hari ini,Kendala: Kualitas barang bermasalah
inamaryani,bintang 5,alhamdulillah pesanan sudah sampe....mantap....terimakasih....,0,Hari ini,
E***y,bintang 5,"pengiriman. cepat, harga hemat, cocok di kulit suami",0,Hari ini,
A***i,bintang 5,"Super enak dan rasanya mantap, kemasan hingga komposisi rasa oke",0,Hari ini,
Rizky,bintang 5,"Ga usah diragukan lagi ,sudah langganan",0,Hari ini,
Yani,bintang 5,ğŸ‘ğŸ‘ğŸ‘,0,Hari ini,
kusriana,bintang 5,respons cepat recommended seller,0,Hari ini,
P***a,bintang 5,diterima dgn baik,0,Hari ini,
D***T,bintang 4,"Body wash wangi nya mantap, sayang dapat kemasan biasa bukan yg pakai tutup.",0,Hari ini,
N***g,bintang 5,"pengiriman sehari, packing rapi, produk sesuai deskripsi, seller responsif",0,Hari ini,
N***g,bintang 5,"pengiriman sehari, packing rapi, produk sesuai deskripsi, seller responsif",0,Hari ini,
Gugun,bintang 1,"Barang dikirim tidak sesuai pesanan, komplain kurang respon.. Menyesal tidak akan belanja lagi disini",0,Hari ini,"Kendala: Tidak lengkap/salah kirim, Pelayanan penjual kurang"
Bintoro,bintang 5,wangi sabun nya cuciannya bersih dan kinclong,0,Hari ini,
Sandy,bintang 5,produk sesuai dengan deskripsi.. pengiriman oleh seller cepat dan aman.. puas dengan order ini.. mantappp..,1,Hari ini,
Sandy,bintang 5,produk sesuai dengan deskripsi.. pengiriman oleh seller cepat dan aman.. puas dengan order ini.. mantappp..,1,Hari ini,
Sandy,bintang 5,produk sesuai dengan deskripsi.. pengiriman oleh seller cepat dan aman.. puas dengan order ini.. mantappp..,1,Hari ini,
D***h,bintang 5,terima kaaih barang sdh diterima dgn baik.,0,Hari ini,
Papah,bintang 5,mantap murah meriah,0,Hari ini,
irwansyah,bintang 5,mantap bagus cepat pgirimannya,0,Hari ini,
Theresia,bintang 5,mantab,0,Hari ini,
Dyah,bintang 5,puas...,0,Hari ini,
R***a,bintang 4,tidak terasa efeknya odol..,0,Hari ini,
Cucuk,bintang 5,"jos, tepat cepat",0,Hari ini,
B***g,bintang 5,Bagus dan cepat sampai. Thank you.,0,Hari ini,
Slamet,bintang 5,pembelian yg kesekian kali..,0,Hari ini,
Dedy,bintang 5,Kapsulnya wangi.. hanya saja kalau cuciannya banyak / beratnya 5 - 7 kg kurang begitu merata wanginya.. mungkin kalau 3 - 4 kg / sedikit bisa lebih wangi.. overall bagus... Selengkapnya,0,Hari ini,
Dedy,bintang 5,Kapsulnya wangi.. hanya saja kalau cuciannya banyak / beratnya 5 - 7 kg kurang begitu merata wanginya.. mungkin kalau 3 - 4 kg / sedikit bisa lebih wangi.. overall bagus... Selengkapnya,0,Hari ini,
Dedy,bintang 5,Kapsulnya wangi.. hanya saja kalau cuciannya banyak / beratnya 5 - 7 kg kurang begitu merata wanginya.. mungkin kalau 3 - 4 kg / sedikit bisa lebih wangi.. overall bagus... Selengkapnya,0,Hari ini,
A***b,bintang 5,lumayan dapet harga murah 12ribu dapet twinpack,0,1 hari lalu,
Anggi,bintang 5,puas banget beli disini dah jadi langganan,0,1 hari lalu,
C***a,bintang 5,"Wanginya seger, tekstur juga halus di kulit.",0,1 hari lalu,
Dewi,bintang 5,ok bgt,0,1 hari lalu,
E***i,bintang 5,mantap,0,1 hari lalu,
E***i,bintang 5,mantul,0,1 hari lalu,
Taupik,bintang 5,wangi nya sangat segar sekali .,0,1 hari lalu,
I***A,bintang 5,"Beli ini dan dapat harga lebih murah pas tanggal kembar. Makasih Tokopedia, bisa buat stok nih.",0,1 hari lalu,
